START_NODE, END_NODE, WEIGHT
Troy/Groody Village, Subway, 4
Troy/Groody Village, Chicken Shop, 7
Troy/Groody Village, Plassey Village, 5
Troy/Groody Village, Bank of Ireland, 3
Bank of Ireland, Plassey Village, 2
Bank of Ireland, Spar Castletroy, 1
Spar Castletroy, Plassey Village, 2
Spar Castletroy, Glucksman Library, 3
Spar Castletroy, ISE Building, 6
ISE Building, Glucksman Library, 5
ISE Building, Dromroe Village, 4
Dromroe Village, Stables, 3
Dromroe Village, Cappavilla Village, 4
Cappavilla Village, Stables, 4
Cappavilla Village, Killmurray Village, 5
Killmurray Village, Stables, 3
Killmurray Village, Plassey Village, 6
Killmurray Village, Apache Pizza, 1
Apache Pizza, Plassey Village, 5
Apache Pizza, Chicken Shop, 2
Chicken Shop, Plassey Village, 2
Chicken Shop, Subway, 1
Plassey Village, Glucksman Library, 2
Glucksman Library, Stables, 1
Subway, Costa, 2
Costa, Apache Pizza, 2
